      JD - 2.44e6,     RV [m/s], RV ERR [m/s], SMOOTH RV [m/s]
       16203.749,    -0.321000,     0.953147,     -1.89167
       16204.630,     -4.86292,     0.968871,     -1.89354
       16204.641,     -2.36609,      1.00804,     -2.03431
       16204.652,     -2.86817,     0.963222,     -2.10194
       16204.662,     -2.32574,     0.950652,     -2.09943
       16204.715,     -2.89070,     0.984472,     -1.79593
       16204.724,    -0.865453,      1.06571,     -1.81720
       16204.733,     -3.30225,     0.899500,     -1.29239
       16204.744,     -1.36460,     0.944311,     -1.33624
       16205.635,     -1.36342,      1.36684,    -0.939021
       16205.646,      2.77507,      1.50173,    -0.647704
       16210.629,    -0.554918,      1.13594,    -0.344828
       16210.640,     0.910002,      1.03353,    -0.391906
       16210.650,     -2.84841,     0.948313,    0.0149275
       16210.661,      1.50119,      1.02205,     0.256143
       16210.677,     0.878749,      1.01423,     0.503622
       16210.687,     0.440932,     0.986415,    0.0301028
       16210.698,     -1.38331,     0.998742,   -0.0188402
       16210.709,      1.17291,     0.945378,    -0.113454
       16211.629,      1.28877,      1.03411,     0.129184
       16211.640,      1.35885,      1.03497,    -0.270072
       16211.650,     -2.43363,     0.984784,    -0.338452
       16211.661,     -1.09329,     0.915089,    -0.454791
       16211.673,    -0.130748,     0.990527,    -0.382333
       16211.684,    -0.179394,      1.03162,    -0.676998
       16211.695,     -2.89063,      1.01847,     -1.05346
       16211.705,     0.126567,      1.05567,     -1.24436
       16212.638,    -0.838792,      1.09306,     -1.29170
       16212.646,    -0.586275,      1.12687,     -1.27627
       16212.654,     -2.06840,      1.03111,     -1.16241
       16212.661,     -2.85230,      1.01847,     -1.41238
       16212.685,    -0.741086,      1.10259,     -1.30304
       16212.693,     -2.95429,      1.05833,     -1.38109
       16212.701,    -0.923628,      1.07642,     -1.66093
       16212.709,      1.12173,     0.970896,     -1.85790
       16213.610,     -2.92910,      1.01271,     -1.71815
       16213.620,     -1.68783,     0.928222,     -1.54079
       16213.631,    -0.732067,     0.944992,     -1.48451
       16213.641,     -3.91702,     0.978703,     -1.40015
       16213.683,     -2.75291,     0.956107,     -1.34739
       16213.693,    -0.531103,     0.984270,     -1.52686
       16213.702,    -0.901398,      1.01167,     -1.48725
       16213.711,    -0.122013,     0.969411,     -1.50324
       16214.639,     -2.02631,     0.999078,     -1.58516
       16214.650,    -0.343212,     0.977324,     -1.42278
       16214.660,    -0.852531,      1.01145,     -1.23644
       16214.671,     -2.49340,     0.972461,     -1.28920
       16214.687,     -1.86367,     0.962529,     -1.44446
       16214.697,     -1.63318,     0.969302,     -1.45729
       16214.706,     -2.13087,     0.956272,     -1.24705
       16214.716,    -0.703153,     0.966941,     -1.49086
       16215.605,     -1.11148,     0.983805,     -1.54028
       16215.616,     -2.60930,     0.974419,     -1.27783
       16215.626,    -0.263039,     0.957886,     -1.18479
       16215.636,     0.286278,     0.972698,     -1.17275
       16215.659,     -3.02511,     0.909038,     -1.07770
       16215.668,     -1.39617,     0.977650,     -1.31563
       16215.679,     0.393533,     0.915822,     -1.41842
       16215.689,    -0.840232,     0.926287,     -1.36819
       16216.649,     -1.50071,      1.08012,     -1.56770
       16216.660,     -1.08533,     0.989312,     -1.68023
       16216.670,     -3.32035,     0.970197,     -1.57301
       16216.681,     -2.24222,     0.986716,     -1.67866
       16217.649,     -2.05679,      1.08098,     -1.82376
       16217.660,     -2.45760,      1.11030,     -1.70810
       16217.671,    -0.951569,      1.14110,     -1.72508
       16217.680,     -1.84570,      1.26289,     -1.75904
       16217.695,     -2.55828,     0.986488,     -1.62234
       16217.703,     -1.20253,      1.01403,     -1.39702
       16217.713,     0.431978,      1.02581,     -1.30506
       16217.725,     -1.68754,      1.07958,    -0.989361
       16218.649,     -1.45889,      1.03937,    -0.868790
       16218.658,     -1.81663,     0.983009,    -0.820435
       16218.667,     0.236325,     0.971525,    -0.695951
       16218.678,     -1.04518,     0.961464,    -0.362043
       16218.689,      1.01505,     0.958893,    -0.301339
       16218.699,     0.374714,     0.965144,    0.0518733
       16218.709,     -1.31379,     0.899976,     0.383118
       16218.719,     -1.18895,     0.929401,     0.703498
       16219.771,      2.47045,      1.12510,     0.670315
       16219.782,      1.09972,      1.11603,      1.13711
       16219.792,      2.19780,      1.10070,      1.26715
       16219.803,      2.18480,     0.964973,      1.45411
       16219.817,      1.70756,      1.04611,      1.77257
       16219.828,    -0.128689,      1.10899,      2.02424
       16219.839,      4.08956,      1.14074,      2.10875
       16220.672,      2.44545,      1.01494,      2.22442
       16220.680,      2.43132,     0.984049,      2.13142
       16220.688,      2.18931,      1.05745,      2.25066
       16220.696,      1.57941,      1.00731,      2.15651
       16220.705,      3.40002,      1.01935,      2.14189
       16220.713,      2.37212,     0.997713,      1.91863
       16220.720,      1.17476,      1.15505,      1.53791
       16220.728,      3.49640,      1.07395,      1.39194
       16221.665,     0.671977,      1.00338,      1.10914
       16221.675,    -0.289476,     0.910119,     0.850717
       16221.686,      1.63366,     0.944002,     0.615391
       16221.696,     -1.74247,      1.05830,     0.445725
       16223.648,     0.825601,      1.06800,     0.373982
       16223.657,    -0.921464,      1.15368,     0.346427
       16223.665,     -1.26324,      1.10009,     0.450918
       16223.674,     0.811435,      1.04619,     0.345842
       16223.687,     0.505792,     0.992967,    0.0724257
       16223.695,     0.385592,      1.06859,     0.302007
       16223.704,      3.19329,      1.15894,     0.370865
       16223.712,      1.82139,      1.03700,     0.509297
       16224.622,     -1.44532,     0.975874,     0.652815
       16224.633,     -1.37391,      1.16514,     0.525692
       16224.643,     0.782929,      1.15698,     0.429513
       16224.654,      1.58303,      1.25497,     0.344831
       16224.668,     0.601287,      1.11425,   -0.0163210
       16224.678,     0.315460,      1.19267,   -0.0981901
       16224.689,    -0.586921,      1.20536,    -0.215220
       16224.700,    -0.552180,      1.40478,    -0.384592
       16225.652,    -0.545914,     0.877994,    -0.729721
       16225.662,    -0.779375,     0.863062,     -1.29992
       16225.672,     0.920826,     0.965814,     -1.75379
       16225.682,     -2.73266,     0.973260,     -2.09109
       16226.668,     -3.23700,     0.971170,     -2.33171
       16226.688,     -3.01350,     0.926428,     -2.47388
       16226.698,     -4.68913,     0.964319,     -2.51001
       16226.711,     -4.39132,      1.00167,     -2.56470
       16226.720,     -3.39479,     0.957557,     -2.65920
       16226.729,     -3.23375,      1.09979,     -2.61435
       16226.739,     -2.11610,      1.06739,     -2.52696
       16229.711,    -0.943266,     0.982854,     -2.40935
       16229.722,     -1.38097,     0.951529,     -2.21668
       16229.733,    -0.118710,     0.976175,     -1.95824
